SerialNo,PartyID,SymbolID,SymbolName,PoliticalPartyName,DistrictCd,DistrictName,StateID,SCConstID,CenterConstID,OrderID,TotalVoteReceived
1105,12,2553,दुई हात जोडेको नमस्कार,नेपाल लोकतान्त्रिक पार्टी,10,,1,0,1,12,54
1106,44,2582,रथ,प्रजातान्त्रिक पार्टी नेपाल,10,,1,0,1,44,47
1107,38,2526,गोलो घेराभित्र दुई पात भएको गुलाफको फूल,नेपाल कम्युनिस्ट पार्टी (माओवादी),10,,1,0,1,38,47
1108,15,2555,पञ्जा छाप,नेपाल सद्‍भावना पार्टी,10,,1,0,1,15,40
1109,54,2581,मोबाइल,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),10,,1,0,1,54,36
1110,51,2527,गोलो घेराभित्र पानीको बोतल,राष्ट्र निर्माण दल नेपाल,10,,1,0,1,51,35
1111,33,2510,काखमा बच्चा लिएको आमा,जय मातृभूमि पार्टी,10,,1,0,1,33,35
1112,45,2565,बलिरहेको दियो,नेपाल मातृभूमि पार्टी,10,,1,0,1,45,33
1113,10,2522,गिलास,राष्ट्रिय जनमोर्चा,10,,1,0,1,10,32
1114,25,2523,गैँती,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),10,,1,0,1,25,30
1115,53,2590,श्रीवत्स समृद्धिको प्रतीक,समावेशी समाजवादी पार्टी,10,,1,0,1,53,29
1116,27,2548,"तुलसी, मठ",राष्ट्रिय एकता दल,10,,1,0,1,27,28
1117,17,2602,हँसिया र तारा,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),10,,1,0,1,17,28
1118,28,2571,ब्याट्री,गतिशील लोकतान्त्रिक पार्टी,10,,1,0,1,28,27
1119,20,2529,घर,नेपाल जनमुक्ति पार्टी,10,,1,0,1,20,26
1120,30,2524,गोलाकार भित्र शङ्‌ख,नेपालका लागि नेपाली पार्टी,10,,1,0,1,30,24
1121,57,2540,डुङ्‌गा,जन अधिकार पार्टी,10,,1,0,1,57,24
1122,35,2569,बाली बोकेको महिलाको आकृति,स्वाभिमान पार्टी,10,,1,0,1,35,23
1123,23,2572,भित्ते घडी,समावेशी समाजवादी पार्टी नेपाल,10,,1,0,1,23,18
1124,22,2551,दायाँ हातले समातेको मसाल,राष्ट्रिय जनता पार्टी नेपाल,10,,1,0,1,22,17
1125,41,2534,चापाकल (ट्‍युवेल),"राष्ट्रिय उर्जाशील पार्टी, नेपाल",10,,1,0,1,41,15
1126,18,2507,कमलको फूल,नेपाल जनता पार्टी,10,,1,0,1,18,15
1127,55,2552,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,पिपुल फर्ष्ट पार्टी,10,,1,0,1,55,15
1128,21,2601,हँसिया,नेपाल कम्युनिष्ट पार्टी (संयुक्त),10,,1,0,1,21,13
1129,36,2549,त्रिशुल,"नागरिक शक्ति, नेपाल",10,,1,0,1,36,13
1130,42,2595,सिट्ठी,नेपाली जनता दल,10,,1,0,1,42,11
1131,14,2536,जग,बहुजन शक्ति पार्टी,10,,1,0,1,14,11
1132,32,2504,उडिरहेको माहुरी,नेशनल रिपब्लिक नेपाल,10,,1,0,1,32,10
1133,58,2574,भैँसी,"जनता लोकतान्त्रिक पार्टी, नेपाल",10,,1,0,1,58,10
1134,48,2509,करूवा,नेपाली काँग्रेस (वी.पी.),10,,1,0,1,48,10
1135,56,2537,जगर भएको सिंह,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),10,,1,0,1,56,9
1136,31,2564,बज्र,जनप्रिय लोकतान्त्रिक पार्टी,10,,1,0,1,31,9
1137,46,2567,बस,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),10,,1,0,1,46,7
1138,37,2530,घोडा,मितेरी पार्टी नेपाल,10,,1,0,1,37,6
1139,52,2515,खुला किताब,उन्‍नत लोकतन्त्र पार्टी,10,,1,0,1,52,5
1140,43,2505,ओदान,त्रिमुल नेपाल,10,,1,0,1,43,4
1141,4,2528,घण्टी,राष्ट्रिय स्वतन्त्र पार्टी,10,,1,0,2,4,57581
1142,2,2583,रुख,नेपाली काँग्रेस,10,,1,0,2,2,13506
1143,1,2598,सुर्य,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),10,,1,0,2,1,8279
1144,34,2501,अँजुलीमा रहेको माटो,श्रम संस्कृति पार्टी,10,,1,0,2,34,7997
1145,5,2604,हलो,राष्ट्रिय प्रजातन्त्र पार्टी,10,,1,0,2,5,2908
1146,3,2557,पाँचकुने तारा,नेपाली कम्युनिष्ट पार्टी,10,,1,0,2,3,1892
1147,51,2527,गोलो घेराभित्र पानीको बोतल,राष्ट्र निर्माण दल नेपाल,10,,1,0,2,51,1135
1148,6,2542,ढल्केको छाता,"जनता समाजवादी पार्टी, नेपाल",10,,1,0,2,6,1011
1149,24,2568,बाँसुरी,राष्ट्रिय परिवर्तन पार्टी,10,,1,0,2,24,679
1150,50,2531,चकिया (जाँतो),"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",10,,1,0,2,50,513
1151,7,2585,लाउड स्पिकर,जनमत पार्टी,10,,1,0,2,7,300
1152,16,2541,डोको,नेपाल जनता संरक्षण पार्टी,10,,1,0,2,16,300
1153,13,2511,कुखुराको भाले,मंगोल नेशनल अर्गनाइजेशन,10,,1,0,2,13,202
1154,11,2516,खुलेको एकल आँखा,प्रगतिशील लोकतान्त्रिक पार्टी,10,,1,0,2,11,147
1155,12,2553,दुई हात जोडेको नमस्कार,नेपाल लोकतान्त्रिक पार्टी,10,,1,0,2,12,133
1156,39,2520,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,सार्वभौम नागरिक पार्टी,10,,1,0,2,39,110
1157,26,2550,दाप सहितको खुकुरी,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,10,,1,0,2,26,107
1158,9,2578,मादल,नेपाल मजदुर किसान पार्टी,10,,1,0,2,9,88
1159,47,2558,पाँचमुखे रुद्राक्षको दाना,राष्ट्रिय गौरव पार्टी,10,,1,0,2,47,77
1160,27,2548,"तुलसी, मठ",राष्ट्रिय एकता दल,10,,1,0,2,27,55
1161,28,2571,ब्याट्री,गतिशील लोकतान्त्रिक पार्टी,10,,1,0,2,28,53
1162,54,2581,मोबाइल,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),10,,1,0,2,54,50
1163,49,2591,षटकोण,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",10,,1,0,2,49,48
1164,38,2526,गोलो घेराभित्र दुई पात भएको गुलाफको फूल,नेपाल कम्युनिस्ट पार्टी (माओवादी),10,,1,0,2,38,47
1165,40,2605,हात मिलाएको,राष्ट्रिय जनमुक्ति पार्टी,10,,1,0,2,40,42
1166,23,2572,भित्ते घडी,समावेशी समाजवादी पार्टी नेपाल,10,,1,0,2,23,38
1167,25,2523,गैँती,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),10,,1,0,2,25,35
1168,17,2602,हँसिया र तारा,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),10,,1,0,2,17,35
1169,35,2569,बाली बोकेको महिलाको आकृति,स्वाभिमान पार्टी,10,,1,0,2,35,33
